20
T 0 S 0 0 B B B B B W 0 0 0 0 0 S T 0 0
0 0 B 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W T
0 0 0 0 0 W W 0 0 0 0 0 0 0 B B B B B B
0 0 0 S S S S 0 0 0 0 0 0 0 W 0 0 0 0 0
0 0 0 S T 0 0 0 S S S T 0 0 W 0 0 0 0 0
S B 0 S T 0 0 0 S 0 0 S 0 0 0 0 0 0 0 0
0 0 0 S S S S 0 S 0 0 S 0 S 0 0 S 0 0 0
0 0 0 0 0 0 S 0 S 0 0 S 0 S 0 0 S 0 0 0
0 0 0 0 0 0 S 0 S 0 0 S 0 S 0 0 S 0 0 0
0 0 0 S S S S 0 S 0 0 S 0 S 0 0 S 0 0 0
0 0 0 0 0 0 0 0 S S S 0 0 S 0 0 S 0 S S
B B 0 0 0 0 0 0 0 0 0 0 0 S 0 T S 0 0 0
0 0 0 0 0 0 0 B 0 0 0 0 0 0 S S 0 0 0 0
0 0 0 0 W 0 0 B 0 0 0 0 0 0 0 0 T 0 0 0
S S T B B 0 0 B W 0 B B B B B B B W 0 0
0 W 0 0 B 0 0 B B 0 0 0 0 0 0 0 0 0 0 0
0 T 0 0 0 0 0 0 0 0 S T S 0 B B B 0 0 0
0 S 0 0 0 0 0 0 0 0 S B S 0 0 0 0 0 0 0
0 W 0 0 0 T S 0 S 0 0 0 0 0 0 0 0 0 W T
0 W 0 0 0 S S P S S W W 0 0 0 0 T 0 B 0
